id,name,category,discount,address,website,description,image_url,usage_count,is_active,created_at,updated_at
11,매장11 (Store11),쇼핑,10% 할인 / 조건 예시 11번,,https://www.google.com/search?q=Store11+Guam,"Store11은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
12,매장12 (Store12),카페,15% 할인 / 조건 예시 12번,,https://www.google.com/search?q=Store12+Guam,"Store12은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
13,매장13 (Store13),마트,20% 할인 / 조건 예시 13번,,https://www.google.com/search?q=Store13+Guam,"Store13은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
14,매장14 (Store14),쇼핑,25% 할인 / 조건 예시 14번,,https://www.google.com/search?q=Store14+Guam,"Store14은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
15,매장15 (Store15),카페,5% 할인 / 조건 예시 15번,,https://www.google.com/search?q=Store15+Guam,"Store15은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
16,매장16 (Store16),마트,10% 할인 / 조건 예시 16번,,https://www.google.com/search?q=Store16+Guam,"Store16은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
17,매장17 (Store17),쇼핑,15% 할인 / 조건 예시 17번,,https://www.google.com/search?q=Store17+Guam,"Store17은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
18,매장18 (Store18),카페,20% 할인 / 조건 예시 18번,,https://www.google.com/search?q=Store18+Guam,"Store18은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
19,매장19 (Store19),마트,25% 할인 / 조건 예시 19번,,https://www.google.com/search?q=Store19+Guam,"Store19은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
20,매장20 (Store20),쇼핑,5% 할인 / 조건 예시 20번,,https://www.google.com/search?q=Store20+Guam,"Store20은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
21,매장21 (Store21),카페,10% 할인 / 조건 예시 21번,,https://www.google.com/search?q=Store21+Guam,"Store21은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
22,매장22 (Store22),마트,15% 할인 / 조건 예시 22번,,https://www.google.com/search?q=Store22+Guam,"Store22은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
23,매장23 (Store23),쇼핑,20% 할인 / 조건 예시 23번,,https://www.google.com/search?q=Store23+Guam,"Store23은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
24,매장24 (Store24),카페,25% 할인 / 조건 예시 24번,,https://www.google.com/search?q=Store24+Guam,"Store24은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
25,매장25 (Store25),마트,5% 할인 / 조건 예시 25번,,https://www.google.com/search?q=Store25+Guam,"Store25은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
26,매장26 (Store26),쇼핑,10% 할인 / 조건 예시 26번,,https://www.google.com/search?q=Store26+Guam,"Store26은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
27,매장27 (Store27),카페,15% 할인 / 조건 예시 27번,,https://www.google.com/search?q=Store27+Guam,"Store27은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
28,매장28 (Store28),마트,20% 할인 / 조건 예시 28번,,https://www.google.com/search?q=Store28+Guam,"Store28은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
29,매장29 (Store29),쇼핑,25% 할인 / 조건 예시 29번,,https://www.google.com/search?q=Store29+Guam,"Store29은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
30,매장30 (Store30),카페,5% 할인 / 조건 예시 30번,,https://www.google.com/search?q=Store30+Guam,"Store30은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
31,매장31 (Store31),마트,10% 할인 / 조건 예시 31번,,https://www.google.com/search?q=Store31+Guam,"Store31은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
32,매장32 (Store32),쇼핑,15% 할인 / 조건 예시 32번,,https://www.google.com/search?q=Store32+Guam,"Store32은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
33,매장33 (Store33),카페,20% 할인 / 조건 예시 33번,,https://www.google.com/search?q=Store33+Guam,"Store33은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
34,매장34 (Store34),마트,25% 할인 / 조건 예시 34번,,https://www.google.com/search?q=Store34+Guam,"Store34은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
35,매장35 (Store35),쇼핑,5% 할인 / 조건 예시 35번,,https://www.google.com/search?q=Store35+Guam,"Store35은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
36,매장36 (Store36),카페,10% 할인 / 조건 예시 36번,,https://www.google.com/search?q=Store36+Guam,"Store36은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
37,매장37 (Store37),마트,15% 할인 / 조건 예시 37번,,https://www.google.com/search?q=Store37+Guam,"Store37은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
38,매장38 (Store38),쇼핑,20% 할인 / 조건 예시 38번,,https://www.google.com/search?q=Store38+Guam,"Store38은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
39,매장39 (Store39),카페,25% 할인 / 조건 예시 39번,,https://www.google.com/search?q=Store39+Guam,"Store39은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
40,매장40 (Store40),마트,5% 할인 / 조건 예시 40번,,https://www.google.com/search?q=Store40+Guam,"Store40은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
41,매장41 (Store41),쇼핑,10% 할인 / 조건 예시 41번,,https://www.google.com/search?q=Store41+Guam,"Store41은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
42,매장42 (Store42),카페,15% 할인 / 조건 예시 42번,,https://www.google.com/search?q=Store42+Guam,"Store42은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
43,매장43 (Store43),마트,20% 할인 / 조건 예시 43번,,https://www.google.com/search?q=Store43+Guam,"Store43은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
